Gene	GM23913_day0_htseq_counts	GM23913_day14_htseq_counts	GM23913_day21_htseq_counts	GM23913_day35_htseq_counts	GM23913_day60_htseq_counts	GM25256_day0_htseq_counts	GM25256_day14_htseq_counts	GM25256_day21_htseq_counts	GM25256_day35_htseq_counts	GM25256_day60_htseq_counts	NCRM_day0_htseq_counts	NCRM_day14_htseq_counts	NCRM_day21_htseq_counts	NCRM_day35_htseq_counts	NCRM_day60_htseq_counts
ABCC6	175	215	249	56	46	328	407	215	74	133	144	102	76	77	26
ABCC8	318	24	83	158	270	478	214	368	390	820	279	64	121	264	218
ABCC9	5	146	89	485	757	12	248	199	651	3447	3	116	162	291	909
ABCD1	825	149	407	342	456	995	1076	1381	539	689	843	285	755	654	699
ABCD2	23	20	89	159	1160	4	332	231	240	3220	2	86	73	469	947
ABCD3	8347	3629	6014	6331	5987	6973	14257	17527	13564	19811	7574	5573	5763	6420	4233
ABCD4	6558	1806	2578	1987	1144	7470	8256	5541	3656	5133	6137	2200	1860	1179	715
ABCE1	29607	9548	10306	6907	5159	25670	42006	26428	15028	19943	29390	14380	7790	6351	4487
ABCF1	27502	6957	5882	6063	3009	24612	36091	15494	15430	8954	27788	12383	8240	6494	4036
ABCF2	2644	787	845	1100	590	2728	3867	2233	2173	1916	3083	1466	1115	985	611
ABCF2-H2BE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	5118	1185	1434	1786	1577	4701	6361	4103	4116	4574	4511	1927	1699	1960	1921
ABCG1	1007	16	58	398	990	609	53	126	845	2761	1013	25	164	1082	931
ABCG2	1601	1496	692	6	8	382	3086	164	26	45	1162	1846	189	11	10
ABCG4	551	29	64	136	462	385	66	170	173	1172	366	22	93	559	997
ABCG5	15	3	5	6	2	29	51	27	10	17	9	2	9	11	5
ABCG8	41	3	5	3	14	52	15	7	5	4	24	3	0	9	21
ABHD1	48	8	24	22	13	173	38	46	27	92	66	15	11	31	28
ABHD10	4860	4048	6242	5213	5676	5407	13243	17582	10187	23581	4842	3902	3973	6212	3636
ABHD11	1477	185	303	242	414	2193	1751	1368	826	1682	1540	456	330	276	290
ABHD12	8571	2094	1571	1543	2339	9395	6748	4768	3621	6615	9577	2218	1707	2063	2999
ABHD12B	8762	22	22	18	53	2586	289	479	50	95	2523	103	49	74	102
ABHD13	3809	1711	3322	2915	1900	4299	9152	8969	4985	8146	4113	2725	2566	2715	1650
ABHD14A	100	140	198	148	313	173	517	632	409	976	128	200	210	244	236
ABHD14A-ACY1	5	4	1	3	1	2	3	7	3	3	6	3	5	1	0
ABHD14B	659	203	149	73	111	1299	908	484	293	458	1071	292	142	90	78
ABHD15	361	162	162	100	104	588	671	336	287	486	374	223	223	111	162
ABHD15-AS1	35	0	0	0	0	17	2	0	0	0	25	1	2	2	0
ABHD16A	80	44	73	46	53	119	198	158	77	205	66	54	58	59	45
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	2740	1005	1369	1402	1315	2226	4920	3844	3061	4365	2403	1566	1215	1545	1223
ABHD17B	10809	3321	4050	4091	2268	9006	13331	8841	7080	6928	8746	4945	4214	4155	2086
ABHD17C	3541	1555	1816	3271	1476	3825	4625	3342	5324	5283	4642	1496	2404	3331	2257
ABHD18	5321	1364	1301	876	1215	4928	4395	2476	1527	4453	4709	1504	901	1405	902
ABHD2	5271	1424	2144	6437	3004	5981	9249	5324	10461	7798	7761	3184	4168	8350	7698
ABHD3	1146	631	5803	6642	1163	2204	5757	6431	7785	5648	1491	1240	3732	1674	749
ABHD4	6383	878	1051	998	2059	6666	5257	4103	2974	7315	5300	1491	1427	1136	2084
ABHD5	2838	1029	1496	1537	2214	3196	4980	5338	4184	9073	3134	1481	1551	2753	1961
ABHD6	1075	722	487	563	1369	1175	4739	2431	1765	6124	1021	1193	718	1046	1308
ABHD8	968	384	318	469	933	1491	1487	1088	1057	2801	1017	359	383	847	1102
ABI1	8697	2392	2998	3793	5307	9266	10344	8000	7705	18052	8242	4005	3255	5076	5012
ABI2	27293	14289	19895	28884	16579	34788	71587	41652	54097	45874	29217	22554	22845	40015	25428
ABI3	165	9	1	0	5	267	34	9	0	2	219	9	0	8	6
ABI3BP	83	30	95	89	530	79	190	282	298	997	85	50	77	123	565
ABITRAM	1918	1095	1673	2089	1316	3371	7043	5442	4499	5906	2457	2325	1730	1539	1025
ABITRAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	22479	6786	5941	8592	3454	22498	30347	14806	18161	9173	25183	11609	11225	11977	6315
ABL2	6494	3640	2690	2788	1451	7235	17485	5375	6096	4201	6957	5209	4523	6006	3773
ABLIM1	20346	5059	2783	4689	9840	18809	24416	8011	9423	20116	22837	8258	5078	14528	31423
