Gene	GM23913_day0_htseq_counts	GM23913_day14_htseq_counts	GM23913_day21_htseq_counts	GM23913_day35_htseq_counts	GM23913_day60_htseq_counts	GM25256_day0_htseq_counts	GM25256_day14_htseq_counts	GM25256_day21_htseq_counts	GM25256_day35_htseq_counts	GM25256_day60_htseq_counts	NCRM_day0_htseq_counts	NCRM_day14_htseq_counts	NCRM_day21_htseq_counts	NCRM_day35_htseq_counts	NCRM_day60_htseq_counts
DNAJB8-AS1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	5
DNAJB9	2165	1896	5452	9077	6833	2610	7089	15093	11885	26481	2142	2125	3504	4826	5421
DNAJC1	3409	858	1693	1308	813	3509	13739	11291	3837	5306	2991	5954	2458	950	600
DNAJC10	30052	8912	13477	11254	5699	32396	47680	31278	22506	18530	29930	14402	11428	7752	7512
DNAJC11	10143	2475	2637	2649	1219	10561	12404	6776	5447	3939	11168	4280	3119	2322	1438
DNAJC12	403	190	973	886	4416	306	2446	3883	1551	12683	276	664	1073	2521	5097
DNAJC13	9881	3315	2766	2997	1860	10603	19228	6538	6631	5335	10593	5900	3733	3212	3032
DNAJC14	2639	1032	1058	961	537	2992	5110	3092	2181	1653	2987	1742	1464	1503	880
DNAJC15	4518	2595	3590	3397	2060	5166	10293	6827	3219	3673	4438	3803	3963	3738	2105
DNAJC16	5864	1883	2176	2092	1243	7044	9719	5554	5017	3719	5746	2613	2210	2116	1749
DNAJC17	1976	447	624	609	353	2113	2435	2274	1490	1213	1934	815	636	387	254
DNAJC17P1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DNAJC18	3573	2709	5462	8236	7447	5348	14511	18095	18790	28704	4003	4315	5336	10281	6489
DNAJC19	5264	1350	3284	1696	1552	6191	9104	8580	3222	6398	4773	1859	2069	1102	949
DNAJC2	7357	1237	938	1025	689	7029	6553	2532	2266	2190	7227	2314	1148	1005	868
DNAJC21	11139	5057	5351	2587	1625	14389	25735	14567	6646	4856	10359	6547	4698	2751	2449
DNAJC22	25	3	12	175	77	69	23	853	727	254	73	12	385	801	397
DNAJC24	3474	1871	3286	2079	2370	3375	7319	6632	3720	9661	2926	2054	1999	2253	1606
DNAJC25	1772	649	928	600	499	1606	3419	2386	1175	1745	1591	1032	739	768	644
DNAJC25-GNG10	0	0	4	0	0	4	0	1	0	1	0	0	1	0	0
DNAJC27	836	506	928	890	962	1263	2374	1754	1719	2856	1054	777	962	1741	1315
DNAJC27-AS1	12	41	107	204	408	22	227	364	459	1091	21	61	135	451	448
DNAJC28	681	111	205	255	207	971	742	653	553	827	700	235	228	283	187
DNAJC3	10848	2056	2236	7534	2090	7897	11635	5898	13669	6572	8346	3423	2524	2500	3639
DNAJC3-DT	1085	585	690	1562	763	1260	2780	1587	2690	2392	902	635	534	563	606
DNAJC30	828	243	326	677	472	1266	1493	1355	1346	1250	840	454	421	393	361
DNAJC4	1179	467	861	1171	1039	1894	2145	2255	2066	3382	1483	819	859	1050	727
DNAJC5	6380	2992	2903	6855	6598	8582	18251	10256	14314	15899	8241	5178	5872	13831	13632
DNAJC5B	3	22	1	2	2	4	16	8	9	6	3	64	2	2	10
DNAJC5G	49	0	21	40	30	60	7	4	21	42	40	2	23	108	39
DNAJC6	1068	262	491	2705	10439	1799	1546	2902	4322	18284	1662	489	1407	13174	27736
DNAJC7	15678	3298	3780	5175	2277	14980	19351	12865	11656	7932	15680	6821	5389	3933	2413
DNAJC8	28723	11645	17521	12536	10426	29754	49217	49376	24026	42713	30207	16687	12447	10092	6826
DNAJC9	1781	953	1356	945	387	2128	5101	3938	2256	1429	2157	1892	1390	692	462
DNAJC9-AS1	234	184	283	193	259	245	752	570	308	930	242	213	167	257	192
DNAL1	2926	1162	2018	2641	1789	3802	5829	6131	6270	8823	3151	1651	2299	2395	2048
DNAL4	1144	525	871	1133	725	1645	3080	3309	2524	2989	1356	1008	1059	1233	718
DNALI1	1478	1318	2880	2485	1709	3403	7709	10930	7182	12466	2171	2503	3026	2955	1262
DNASE1	1107	783	836	1252	974	1467	4187	2179	2714	2421	1158	1134	1188	2201	1471
DNASE1L1	284	99	117	94	77	581	342	391	186	290	422	122	103	89	138
DNASE1L2	14	33	81	67	86	68	187	208	94	367	28	28	65	56	41
DNASE1L3	0	0	1	0	0	0	3	57	0	0	0	1	0	15	0
DNASE2	4005	413	723	776	1346	6232	1356	1538	1813	6554	4631	409	494	1099	993
DNASE2B	3	2	3	0	34	5	12	9	6	80	8	1	2	19	39
DND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DND1P1	26	25	10	9	8	133	114	74	52	26	97	37	32	42	20
DNER	2396	158	2375	18632	32220	660	280	8849	27997	83597	884	228	5609	40571	43431
DNHD1	535	387	882	390	402	1128	2001	1079	670	2064	905	535	579	812	403
DNLZ	21	7	22	19	6	20	18	47	49	39	19	3	7	17	14
DNM1	4049	2758	3497	3359	7381	6601	13493	6742	5627	16507	5127	4345	3997	10579	12844
DNM1L	21006	7222	9112	9777	9169	19458	34257	24441	20054	27025	20826	11907	10066	13357	10988
DNM1P35	115	35	53	40	123	107	148	66	45	192	121	40	32	113	72
DNM1P41	1	0	0	0	3	0	0	0	1	1	0	0	1	0	0
DNM1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNM2	17670	5034	5224	4806	2494	19638	25757	14261	12797	8636	18389	8353	5693	4320	3297
DNM3	1552	114	246	2739	5629	204	693	883	3160	11192	358	256	1037	14826	14209
DNM3-IT1	1	2	6	1	1	0	3	2	3	5	1	0	0	0	0
DNM3OS	11	37	46	4	15	1	76	28	13	39	3	203	22	27	24
DNMBP	8303	2238	2128	897	396	13037	13059	3607	2191	1352	11354	4727	2273	763	599
DNMBP-AS1	0	1	0	0	0	4	2	1	0	0	1	0	0	0	0
DNMT1	31229	12837	8893	7098	2455	28253	63319	20528	19186	7020	32953	21720	12767	6770	3509
DNMT3A	26695	5131	6731	9369	4822	22000	24949	14530	20245	14960	28997	10634	10993	16282	6601
DNMT3AP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DNMT3B	357923	5782	3373	4559	593	209715	23826	6287	7264	2639	245007	7653	4707	3802	415
DNMT3L	48	0	0	0	0	21	1	0	0	2	18	1	0	3	0
DNMT3L-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNPEP	5754	1063	1039	1070	1225	6115	4931	2755	2536	3532	5814	1355	847	1382	1354
DNPH1	1237	420	717	281	473	2202	2398	2204	769	1587	1699	675	478	315	282
DNTT	17	0	0	0	1	2	0	1	0	6	12	0	0	0	2
DNTTIP1	4374	1300	2182	2312	1183	3865	6231	7142	4837	4657	4210	2115	2035	1665	1010
DNTTIP2	21203	5077	6674	6240	4434	18888	23950	18264	11476	16068	20997	9060	6538	6268	4125
DOC2A	836	204	318	194	511	1062	468	419	363	1310	870	145	176	539	541
DOC2B	889	278	646	2423	5605	715	1855	2777	4682	8428	822	1228	2582	15107	12347
DOCK1	8926	3917	4515	3231	837	15741	28865	12576	10036	4257	10802	9012	5363	1312	918
DOCK10	194	293	156	356	403	169	5798	1181	1656	1314	212	3366	721	552	630
DOCK11	4053	2258	2320	2036	1503	5501	10881	4910	4591	3660	4433	3213	3177	2667	2015
DOCK2	2825	41	30	61	26	1862	132	47	158	60	1456	25	28	15	19
DOCK3	2019	372	746	1819	1986	2222	2067	1740	4157	4577	918	461	1464	5475	3418
DOCK4	4785	1273	1794	4349	3631	2128	5727	4264	7881	10186	5174	2343	3430	7961	3433
DOCK4-AS1	3	0	3	3	5	5	9	3	5	4	2	0	4	4	2
DOCK5	5189	987	427	171	56	4457	2696	1041	703	538	3698	681	623	106	164
DOCK6	5579	1327	1347	373	239	6489	5872	2592	1091	910	5519	1857	1293	374	417
DOCK7	5671	6612	7791	10667	4185	8197	35879	16683	19930	12736	8144	12302	10033	9331	4437
DOCK8	181	77	29	5	22	550	454	119	5	67	469	457	100	7	6
DOCK8-AS1	12	5	4	0	0	40	33	5	1	0	31	19	1	0	0
DOCK9	6365	239	116	70	470	4622	1084	335	224	1173	4425	1071	401	342	1039
DOCK9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOCK9-DT	40	3	2	4	4	70	17	14	8	12	41	9	6	1	16
DOHH	1021	171	120	169	138	827	764	369	409	397	822	200	171	294	253
DOK1	507	477	543	379	320	1475	1846	1682	888	959	973	567	681	367	297
DOK2	19	1	4	0	0	16	5	4	1	1	11	4	2	0	0
DOK3	487	152	150	311	187	564	859	479	419	371	594	263	286	338	216
DOK4	4243	729	796	2124	3994	2987	3094	2298	3586	9819	3746	1227	1386	6686	5588
DOK5	1794	271	1323	2916	6655	1548	1170	3042	4102	11455	1867	388	1317	5844	7115
DOK6	60	181	221	2704	4471	197	1096	1177	4612	11184	456	269	740	8361	10078
DOK7	31	11	15	23	8	43	41	49	35	50	22	8	9	13	13
DOLK	2226	584	655	799	582	1933	2941	2306	1787	1710	1988	836	772	553	608
DOLPP1	4952	2064	2240	3374	1197	5407	7640	7015	7078	4039	4986	2666	2320	2514	1262
DONSON	5242	905	1343	819	794	6554	6362	3544	2604	3512	5169	1486	1070	851	711
DOP1A	3261	1090	1540	2717	2192	3850	7706	4627	5160	7034	3367	2064	2314	4212	2952
DOP1B	2230	428	640	1709	1472	2274	1692	1810	3646	3155	1977	748	1281	2672	2417
DOT1L	7957	4348	4956	3614	1657	9477	18846	9603	7190	7502	9878	5482	4360	5350	2604
DPAGT1	7187	1663	1521	1387	888	5113	6291	3627	2842	2836	6535	2244	1473	1376	1057
DPCD	2383	914	1932	1072	1511	2464	5083	6907	2476	5918	2214	1366	1436	938	1474
DPEP1	186	15	102	7	9	2225	79	21	3	8	300	21	8	4	2
DPEP2	2	0	1	1	0	4	1	2	0	4	1	0	0	2	1
DPEP2NB	1	1	0	0	1	1	1	2	0	2	0	0	2	2	1
DPEP3	315	0	0	0	0	441	4	0	1	0	725	3	0	3	1
DPF1	2061	262	832	2921	2248	1449	1448	2309	4701	5961	1662	531	1677	5611	3231
DPF2	11638	4752	6200	7050	3215	13126	16796	12716	13088	11255	11644	6559	6304	7521	3019
DPF3	39	355	1359	3108	2722	6	456	1150	3872	7247	36	636	2465	8826	4301
DPH1	1216	575	711	605	672	1115	2871	1786	1383	2680	1188	895	667	636	562
DPH2	5659	746	794	824	412	3496	3254	2239	1844	1477	4438	998	873	613	436
DPH3	7560	3653	7339	7160	7067	7694	17279	24745	12247	23324	7760	5429	6362	7405	6132
DPH5	9254	3512	6761	5237	3666	10032	18943	15921	9137	17558	8962	4925	4000	3307	1774
DPH6	4819	732	1877	719	932	6281	3410	4368	1679	3408	4566	927	807	448	541
DPH6-DT	1	4	18	7	53	17	101	181	15	92	5	23	36	11	32
DPH7	3992	1480	1998	1791	1104	3893	6423	4964	3347	4583	3605	1795	1478	1222	833
DPM1	9528	2954	6074	3418	2740	10057	14390	15498	6775	12346	9863	4195	3613	2838	1772
DPM2	4218	1053	1498	1633	1604	4844	5078	4601	3419	4669	3767	1545	1408	1602	1582
DPM3	747	398	924	426	404	980	1580	2651	819	2286	818	385	436	264	209
DPP10	1755	420	936	1951	6523	1330	886	1264	3361	10533	1361	472	796	5759	5293
DPP10-AS1	291	9	20	28	125	223	21	29	66	322	164	13	29	119	125
DPP10-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPP10-AS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPP3	7183	1377	1806	1546	1190	6307	5895	4268	3567	3116	7531	2260	2224	2301	1782
DPP3-DT	59	53	87	97	118	105	226	230	178	407	63	76	88	168	91
DPP4	1391	486	158	54	30	1856	2182	270	90	143	1478	445	107	11	41
DPP4-DT	16	3	0	0	0	13	21	0	0	2	2	4	0	0	0
DPP6	5	1	4	5	13	0	0	1	4	5	1321	99	808	4643	6210
DPP7	745	707	901	538	1190	1678	1940	1273	449	1232	916	484	476	386	608
DPP8	6548	2200	2992	3257	3117	6934	12017	6391	5888	8066	6564	3747	3314	4172	3748
DPP9	5770	1527	1464	2031	772	3709	6867	4019	5315	2579	4373	2203	1963	1582	1232
DPP9-AS1	41	6	11	6	8	55	29	30	13	13	31	14	8	5	0
DPPA2	3519	83	37	4	9	1541	429	124	31	53	2721	135	37	14	2
DPPA3	1095	0	0	0	2	229	1	3	2	17	833	1	6	0	5
DPPA4	172951	5527	3477	814	442	192362	36972	10256	1992	3734	156646	8998	2514	308	279
DPPA5	518	0	0	1	2	197	0	0	0	0	173	0	0	0	0
DPRX	7	0	0	0	0	5	0	1	0	0	5	0	1	1	1
DPRXP2	22	0	0	1	0	12	3	1	0	0	14	0	0	2	0
DPRXP3	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0
DPRXP6	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
DPRXP7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DPT	0	0	0	0	0	0	1	1	0	2	0	14	0	0	0
DPY19L1	5015	4603	5438	3274	2669	6123	21271	16801	10195	14722	5524	6340	4540	3977	4015
DPY19L2	209	396	190	254	431	630	1685	604	395	1046	308	438	154	257	236
DPY19L3	13876	7082	7570	9000	3099	16415	33552	17656	18672	10649	17208	9410	7255	6470	2788
DPY19L3-DT	94	33	72	33	48	101	73	103	27	83	112	32	40	20	17
DPY19L4	4363	3843	6418	3669	2357	5440	20661	16889	8184	9937	3847	5005	3972	2164	1418
DPY19L4P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPY19L4P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPY30	10844	2541	5117	2409	4294	10478	10689	12250	3916	16382	8971	3027	2811	3148	2774
DPYD	83	56	353	413	261	84	2042	1219	948	1009	76	1154	736	378	257
DPYD-AS1	0	0	0	1	1	0	0	1	0	8	0	1	1	2	1
DPYD-AS2	1	0	0	2	0	0	0	0	2	2	0	0	0	0	0
DPYD-IT1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
DPYS	299	1	0	4	37	246	12	3	2	45	192	3	3	17	5
DPYSL2	42221	20517	29584	61749	44398	40768	51050	60287	96765	97170	47050	27693	51091	104880	88406
DPYSL3	170039	18324	32418	72919	82489	175460	94366	76665	128476	213179	161285	33369	59886	162113	151912
DPYSL4	2740	3979	7549	13971	5194	1560	8889	15582	20259	12451	2221	4074	11670	12995	5790
DPYSL5	2834	11636	21718	37269	22791	2135	38340	40337	63850	50074	4518	14903	33693	58613	43533
DQX1	95	17	30	17	30	266	150	163	23	183	100	78	243	23	18
DR1	16239	6484	8922	7842	6618	18117	25612	19852	12975	20870	14965	8702	7347	9956	7592
DRAIC	52	11	16	66	114	102	29	36	77	337	50	10	14	137	101
DRAM1	2374	1991	1683	350	350	979	4944	2103	700	1683	1341	1147	616	386	270
DRAM2	5485	3261	4457	2111	1709	7276	12676	8926	3964	8947	5542	3410	2400	2250	1171
DRAP1	9804	1978	3237	3102	4037	11684	11607	11661	6520	12894	10449	3871	3200	4321	4319
DRAXIN	7828	8911	8260	7624	4355	4229	13801	39561	26505	13924	6816	9085	14171	19414	10014
DRC1	43	19	100	245	356	81	181	362	528	2365	26	34	50	172	143
DRC3	140	152	198	414	311	119	734	540	880	843	150	166	288	739	505
DRC7	11	8	4	22	76	51	46	32	77	207	9	11	21	29	36
DRD1	32	12	0	148	332	10	4	4	123	257	19	1	4	13	52
DRD2	60	10	641	268	533	32	701	2443	355	670	75	246	1771	918	1393
DRD3	210	0	0	0	14	87	0	0	0	30	142	0	0	4	62
DRD4	187	68	79	28	47	342	79	45	50	207	202	40	84	100	48
DRD5	19	2	0	0	3	19	4	8	9	10	11	2	2	11	15
DRG1	13333	3861	5913	4501	3666	11474	19188	18085	8778	14605	11958	5626	4559	3542	2901
DRG1P1	9	3	5	1	4	5	12	10	8	8	9	1	2	3	1
DRG2	3189	1062	1475	1148	835	3607	4595	3448	2437	2887	3248	1543	1230	922	661
DRGX	4	1	20	911	1089	3	277	1314	1560	3893	4	86	596	1526	1001
DRICH1	11	22	21	26	40	14	61	54	30	42	21	13	23	16	26
DROSHA	23155	6834	6240	7608	4385	20719	30509	13274	15052	12203	23079	11852	8085	9538	5342
DRP2	86	180	148	125	601	215	1240	496	324	1966	206	305	206	930	1248
DSC1	15	0	0	4	25	11	2	0	19	58	7	11	3	8	12
DSC2	10010	6469	3131	377	319	13653	10694	4075	763	788	13122	4583	2559	402	301
DSC3	1256	4782	2393	936	218	915	5858	1111	1073	353	1325	1458	883	304	47
DSCAM	126	6	78	205	1387	34	40	168	574	2911	40	23	112	2182	2379
DSCAM-AS1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
DSCAM-IT1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0
DSCAML1	101	38	116	177	1096	72	157	178	291	2394	61	129	89	1697	928
DSCAS	2	1	4	0	2	7	2	3	2	6	4	1	3	1	2
DSCC1	11273	1927	2119	1057	212	8247	7755	6337	2534	1122	11344	2888	1504	123	89
DSCR10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSCR4-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DSCR8	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DSCR9	7	8	5	14	6	8	25	15	22	37	5	2	6	12	15
DSE	10250	3471	1657	742	489	6923	11786	4792	1759	1899	11086	4194	1541	1118	483
DSEL	4493	308	196	551	1399	2553	2132	4494	1785	3882	5511	520	436	1573	1682
DSEL-AS1	2	0	0	1	28	0	4	14	8	77	0	0	0	13	7
DSG1	16	1	0	0	0	11	2	1	0	2	6	0	4	8	2
DSG1-AS1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
DSG2	63818	13162	5276	1141	479	67864	26082	8291	4101	3428	57632	6880	2476	361	353
DSG2-AS1	76	14	14	1	4	72	58	8	8	7	65	10	4	1	0
DSG3	136	3	1	0	0	111	15	1	0	0	41	29	8	0	1
DSG4	5	2	0	0	0	0	11	0	0	0	5	0	0	0	0
DSN1	5345	1611	2362	974	511	6394	8036	7852	2924	2368	5790	2430	1750	347	463
DSP	19329	25368	6987	588	275	28100	44602	3036	407	56	35986	19703	6474	342	78
DSPP	0	0	1	5	2	3	2	0	0	3	0	1	0	2	3
DST	28478	6387	15851	24560	17550	25192	42593	23866	42485	36756	23753	11741	32711	35373	29730
DST-AS1	19	4	28	57	45	23	20	99	78	146	7	2	22	17	16
DSTN	43724	7956	13052	14668	22645	35908	35933	33232	20965	62723	36200	12823	10805	20112	21483
DSTNP3	19	8	6	9	11	8	32	17	17	26	7	6	2	5	10
DSTYK	3908	1663	1459	1776	1625	5163	10451	3519	3820	3797	4805	2944	2232	3341	3760
DTD1	3693	859	1248	2038	1836	3536	4690	5111	3753	6430	3543	1371	1427	2642	1694
DTD1-AS1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DTD2	1046	278	855	1460	658	936	1290	2100	1746	2386	971	423	935	704	298
DTHD1	0	0	4	4	247	0	2	6	2	334	0	1	4	95	76
DTL	15487	5635	5595	2448	331	15954	26453	12493	7217	1257	17353	10030	5120	236	94
DTNA	4952	979	748	2401	8763	3207	4540	2235	3241	17350	2420	1063	1170	8683	11247
DTNB	3528	726	701	858	1312	4517	3325	1798	1905	2906	4452	1321	920	1968	1608
DTNB-AS1	8	0	1	1	0	13	10	1	0	6	8	0	1	0	1
DTNBP1	1224	569	656	770	1805	2439	2499	1939	1294	6089	1721	965	645	1847	1425
DTWD1	3686	1988	2539	976	1631	5320	8569	5054	2381	7099	3626	2248	1526	1507	1377
DTWD2	3087	402	580	666	329	2660	2772	1712	1577	1415	2403	577	411	262	268
DTX1	1302	499	872	2341	2077	1233	1130	1326	3030	4699	1253	487	1722	5556	3505
DTX2	3167	403	310	258	116	2085	1545	693	436	354	3123	600	346	267	145
DTX2P1-UPK3BP1-PMS2P11	17	5	4	11	2	14	4	1	2	3	15	4	7	0	0
DTX3	3796	1969	3402	4614	4411	7686	9449	8977	9043	13393	4738	2764	3648	5776	4348
DTX3L	2462	569	552	401	332	2030	1392	533	833	1141	1734	369	272	424	359
DTX4	5408	4744	25188	25994	11639	4824	41035	50665	44591	29786	4895	12300	30771	17343	12416
DTYMK	5218	3349	4352	2056	1046	5636	12489	13840	4692	5466	5180	3365	2745	968	649
DUBR	942	173	457	690	1180	573	1901	2428	1663	4085	390	522	654	605	834
DUOX1	148	171	291	248	287	508	747	430	430	1022	175	181	269	764	450
DUOX2	41	3	11	1	12	61	7	5	14	33	24	2	3	39	32
DUOXA1	12	1	5	6	11	56	8	6	9	36	12	3	4	18	13
DUOXA2	1	2	0	0	3	4	4	0	1	4	0	1	0	6	3
DUS1L	5775	1934	2287	934	615	5213	8772	5012	1985	2248	5132	2608	1829	862	607
DUS2	2522	457	698	580	467	2668	2322	1687	1115	1838	2545	821	555	609	422
DUS3L	2387	828	875	823	292	2053	3277	2186	1783	1040	2229	1159	651	358	191
DUS4L	919	292	494	520	451	1413	1502	1294	971	1896	1145	461	364	475	310
DUS4L-BCAP29	167	106	189	275	139	282	589	582	635	389	193	169	215	190	156
DUSP1	814	563	1265	2023	1205	756	1908	3392	2833	3209	938	728	1573	2747	1187
DUSP10	434	111	384	565	865	299	459	1752	1363	2111	292	205	445	782	889
DUSP11	3460	1693	3191	1846	1507	3468	7257	8190	3038	7006	2938	2044	1848	1515	890
DUSP12	2632	1621	2189	2696	1896	3526	8067	5837	4635	6699	3108	2490	2024	2608	1513
DUSP13	179	4	20	4	2	341	17	110	8	24	281	2	8	6	1
DUSP14	2369	2155	1457	851	684	2799	6247	4541	1738	2409	2667	1935	881	460	578
DUSP15	74	64	95	116	197	250	326	354	140	416	124	77	142	218	257
DUSP16	13683	3333	4983	10147	5281	22942	14261	12310	20254	12651	24596	4989	8174	14150	5910
DUSP18	180	61	123	293	386	248	449	464	698	1211	164	151	225	664	543
DUSP19	635	228	365	499	628	782	1537	1211	945	2481	543	381	496	721	488
DUSP2	306	20	7	4	65	214	87	30	9	134	266	16	2	26	69
DUSP21	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DUSP22	4438	2173	2920	1501	1493	5417	7413	6003	3593	4287	4642	2728	2713	2541	2256
DUSP23	1669	302	319	79	190	1435	1267	1193	127	505	1456	323	152	75	164
DUSP26	232	50	179	748	2019	344	277	1080	1804	6683	297	75	347	1988	1983
DUSP28	230	123	228	293	366	299	794	592	569	1397	255	226	210	420	265
DUSP29	25	1	0	0	0	0	0	0	0	0	27	0	0	0	0
DUSP3	6601	1692	3822	5102	2824	7261	12613	13892	11414	10501	6251	3446	4619	6249	4705
DUSP4	1153	2515	2742	5207	8167	1252	11767	7941	5744	9874	2290	4313	4598	9495	22110
DUSP5	3549	211	38	23	421	2377	696	205	151	821	6622	270	80	56	1641
DUSP5-DT	8	0	0	2	6	4	3	1	2	25	10	2	1	1	8
DUSP6	4232	15956	511	729	800	8530	24987	1943	626	1796	21390	6703	852	419	4904
DUSP7	2470	1319	922	795	586	2306	6031	2158	1623	1694	2561	2647	1191	1788	1209
DUSP8	515	177	925	3852	5330	361	1176	4328	7462	13454	362	469	2546	13511	7154
DUSP8P1	1	0	0	0	1	2	6	2	0	8	0	5	1	11	3
DUSP9	210	8	20	11	52	127	194	271	42	211	220	69	113	170	121
DUT	17171	2503	4851	2334	2826	15406	17101	14437	5995	9831	18521	4416	3370	1658	1677
DUT-AS1	173	59	99	32	15	253	408	177	136	74	241	70	66	20	7
DUX4	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0
DUX4L32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L34	1	0	1	0	1	2	6	0	0	1	0	0	0	0	0
DUX4L35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L37	4	1	3	0	0	0	32	6	5	9	0	6	4	3	2
DUXA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUXB	15	0	2	0	1	6	2	1	1	2	2	0	0	0	0
DVL1	4449	1691	1648	2233	2006	5169	7708	4541	4753	5803	4644	2258	2322	3194	3146
DVL2	5274	3699	3416	2608	1180	5974	16406	8714	6736	4455	5420	5183	3398	2004	1046
DVL3	11343	5001	6446	9154	5301	10666	22485	16571	19505	15067	10884	8041	8899	11913	7105
DXO	814	511	820	632	432	1221	2626	2359	1451	1754	919	800	671	566	341
DYDC1	18	1	0	3	0	13	6	2	0	2	8	6	0	0	2
DYDC2	438	297	321	161	167	586	795	568	177	621	599	362	188	157	198
DYM	9241	4130	4942	5602	4279	10601	22425	11428	10269	12733	10932	8486	5852	9895	5881
DYNAP	34	2	0	0	3	227	2	0	0	0	102	2	0	0	0
DYNC1H1	56610	20272	15536	30534	16425	52776	115822	31688	60119	38138	56432	32550	42495	60348	54691
DYNC1I1	372	28	44	110	947	637	165	898	351	2461	234	110	294	1068	4808
DYNC1I2	12290	8687	16766	21375	19646	18646	36565	44864	36155	56417	15515	14979	17387	23002	13139
DYNC1LI1	10138	4136	5575	8472	6993	12951	16675	18314	15327	20000	11393	7354	7501	11182	8012
DYNC1LI2	13004	5711	8864	14142	11741	13924	29294	23445	27838	36692	13432	9795	12505	18126	15516
DYNC1LI2-DT	42	5	19	16	11	80	128	65	26	43	49	16	15	10	20
DYNC2H1	5555	2587	1670	1756	903	8277	29501	5813	5483	3331	6633	6813	3129	1283	1317
DYNC2I1	5560	1402	2110	1574	1353	9804	8878	5532	3946	5230	8165	3200	2496	1644	831
DYNC2I2	4235	1521	1710	1433	707	3879	6767	5492	3962	2320	3919	2052	1811	817	567
DYNC2LI1	1575	1214	3225	1996	2453	2262	5952	8156	3655	10655	1499	2049	2330	2103	1291
DYNLL1	28969	11875	20584	12047	13012	39364	63340	73198	26778	56872	28246	15167	14735	9897	9290
DYNLL2	23644	8608	8965	19607	10452	25496	56451	21926	30276	20831	24707	17547	16420	26230	21238
DYNLL2-DT	5	1	5	3	3	20	12	10	6	17	9	6	5	3	6
DYNLRB1	606	179	302	336	501	764	842	1033	608	1713	555	262	291	421	445
DYNLRB2	2	1	23	22	68	2	12	129	58	342	4	4	28	19	14
DYNLRB2-AS1	9	2	6	13	32	5	15	258	121	81	6	6	5	11	24
DYNLT1	7427	3320	6972	5076	8845	7085	13661	24044	9212	34722	6270	3629	4235	5942	4884
DYNLT2	368	220	360	162	184	348	1296	730	384	820	463	272	192	168	143
DYNLT2B	113	120	312	196	234	224	658	891	355	990	121	120	200	211	133
DYNLT3	961	652	720	460	2391	1454	1899	2005	854	5866	952	504	485	670	3357
DYNLT4	3	5	10	3	1	4	19	78	14	9	3	3	9	2	1
DYNLT5	188	62	105	1	216	411	153	302	7	1784	213	39	47	8	85
DYRK1A	11630	5094	5482	7235	3515	15452	24775	12362	14950	10459	13128	8179	7697	9932	5471
DYRK1B	1182	930	1333	1550	727	1540	4363	3880	3027	2032	1299	1734	2048	1550	848
DYRK2	8207	6906	5941	4434	2846	7922	25215	10007	9301	8937	8404	8992	6908	7760	3967
DYRK3	1950	2215	2343	1200	1019	1356	5949	3117	2262	3202	2143	2441	1754	2104	1665
DYRK3-AS1	27	25	35	5	6	54	57	56	19	34	35	21	21	11	13
DYRK4	608	517	946	516	667	997	3269	2818	1294	3024	564	878	711	534	693
DYSF	3060	94	36	25	70	2768	574	48	11	70	3124	561	108	63	375
DYTN	3	0	1	1	1	0	2	8	3	10	0	0	4	1	1
DZANK1	1634	486	605	746	531	1875	2694	1552	1364	1810	1629	841	593	684	471
DZIP1	5611	6281	6086	4666	8498	7779	24514	12191	8937	21128	5429	7254	5743	9665	8191
DZIP1L	564	355	419	158	88	806	1795	738	337	284	593	632	313	76	48
