"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,GM25256_day14-1,GM25256_day14-2,GM25256_day14-3,NCRM_day14-1,NCRM_day14-2,NCRM_day14-3
HOXB-AS3,1292.07029712052,16.6254594557752,2.56044193483295,2.69744429377879e-64,4.81581766579529e-62,0,0,0,0,0,0,4002.68895859073,4090.92520962664,3350.41318927203,4733.13773430176,4891.98720252011,3114.60857540755
HOXB9,23026.028835501,16.4854023649177,1.2840470695979,1.68921412992719e-74,4.36934521008727e-72,0,0,0,0,0,0.88197706232643,9897.20899265647,10410.6669786361,9166.6553163216,22127.076147645,23233.2845081382,18844.4547458548
HOXC6,3061.65070150248,15.9511883378692,2.39036959327788,1.3869806584257e-59,2.07101430133111e-57,0,0,0,0,0,0,2275.38749928187,2606.18458215947,2072.97867333031,3781.02602399001,4110.54507400019,2761.38852499037
HOXA-AS3,549.031768833767,15.9342763023928,2.60319539985302,2.90603266969633e-57,3.99427502926881e-55,0,0,0,0,0,0,2715.51719804807,3064.56946858314,2303.40906762452,1991.05600860393,2724.41558412557,1794.15978880127
HOXC8,1892.72307562395,15.1210244217942,2.48999746938225,2.31981105895976e-46,2.08782995306379e-44,0,0,0,0,0,0,1381.11453822743,1710.73503658767,1335.60141158881,1730.55824466263,1989.48786801755,1322.09934758953
HOXA9,1936.0783297375,14.0171832227977,2.41562176876047,6.11962181976614e-43,4.4973059682174e-41,0,0,0,0,0,0,476.46115974926,442.181513694269,391.060513811933,1064.84173681266,1298.41659789789,963.927614222579
HOXC9,1364.20187511204,13.9655229942481,2.42685219860218,7.62946652167659e-46,6.61287533607061e-44,0,0,0,0,0,0,565.732749593348,583.321418258207,456.386412000197,926.214271791268,1037.93588839125,767.510857214896
HOXD4,442.655296319409,13.935730788362,2.47314542003481,8.35326199075562e-44,6.4565801505017e-42,0,0,0,0,0,0,624.901128908616,607.626477352299,499.340427247274,741.885444674914,1065.84453583839,574.395222173729
TFAP2B,4251.56994974791,13.8274733257842,0.652991969099831,1.17693171870221e-96,6.23583983215604e-94,0,2.14465240593981,1.10471599217192,0,0,0.88197706232643,9750.84510698186,10067.4113195002,10547.8953691104,10962.2333878453,10077.6796948411,18167.7247427191
TBX2,119.097571981476,13.5387367319043,2.82133781100827,1.39562959258442e-20,2.90167291875938e-19,0,0,0,0,0,0,498.260036339096,606.773668261278,384.796386588401,423.499288746665,510.329553319131,643.718783470558
NR2F1,8251.69994563381,13.4751594903681,0.520472693335332,4.20809256457309e-144,6.58265908315363e-141,0,0.714884135313271,0.552357996085961,4.08990130272024,1.538371915897,0,10808.0906215889,11524.4356515092,11580.5814856756,10499.1262519497,11195.3545759384,15526.8271695065
HOXA3,348.866207563915,13.3600353328799,2.47185994665063,1.05751574198037e-40,6.77181133022515e-39,0,0,0,0,0,0,426.635156115351,506.995004611848,446.990221164899,457.013620949639,575.449730695791,353.220050417178
HOXC-AS2,419.601370749639,13.2429704387351,2.46700355391278,1.4855856519164e-38,8.76148809074572e-37,0,0,0,0,0,0,318.15979403736,361.164650047296,261.303592753054,542.322830193571,668.478555519591,445.651465479617
MSTN,583.17159940475,12.9803883221942,1.46200993629741,4.28271334354931e-31,1.68487584833048e-29,0,0.714884135313271,0,0,0,0,782.164452878143,715.506827366426,791.069780800341,2169.29132077429,1719.70427602853,2505.5515725854
HOXB8,4914.77443313722,12.9266254653996,1.29034091880296,9.63185138878388e-45,7.89043187335537e-43,0,0,0,0,0,0.88197706232643,1139.25081225449,1179.43497288173,1070.71831756517,1729.03486592613,1678.50579646371,1366.66449413749
