"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,GM25256_day21-1,GM25256_day21-2,GM25256_day21-3,NCRM_day21-1,NCRM_day21-2,NCRM_day21-3
HOXB9,23026.028835501,16.8705769884702,1.28595593204084,6.2109393301349e-78,1.05256600617513e-75,0,0,0,0,0,0.88197706232643,8473.08794193381,16331.9798276715,9466.01650862243,32971.1913153667,31041.3111546087,23580.5355418038
HOXC6,3061.65070150248,16.1838283933884,2.47191341431751,1.23128632338558e-60,1.29923938934601e-58,0,0,0,0,0,0,1503.03782220815,2343.87736055051,1574.68995284535,5196.32385947826,4774.23559995773,3879.46437840297
HOXA9,1936.0783297375,15.4152191894523,2.48580933206064,4.96011221938689e-52,3.87964022194702e-50,0,0,0,0,0,0,869.920139986994,1042.0475936694,909.673307174043,3255.2707385628,2949.99764084025,2355.38908688752
BHLHE22,544.264365604142,14.6178739453998,2.66747410315856,2.39333816221553e-31,7.16400196548992e-30,0,0,0,0,0,0,50.9783068801452,330.565518159832,111.346873084751,2343.51000653646,2033.00101967959,1573.36793643335
HOXC9,1364.20187511204,14.4200435141865,2.44726478317599,5.9893287821022e-49,4.06825763731659e-47,0,0,0,0,0,0,719.451911614952,708.563174686968,630.284593516434,1467.3649281049,1250.62730673188,1045.80341244723
HOXB-AS3,1292.07029712052,14.3172256636216,2.45988317859495,2.85976836687045e-47,1.81509676683559e-45,0,0,0,0,0,0,985.032445845386,866.18381910755,937.765408181664,911.760732026343,745.303636773131,935.228019793574
HOXA5,667.584947866068,14.2763914150812,2.50645208472015,1.78520629582029e-42,9.08992371111528e-41,0,0,0,0,0,0,309.158764305397,363.403152414119,388.692524850897,1565.30797549054,1406.71183799327,1149.71763686874
HOXC8,1892.72307562395,14.2044829418444,2.4513221288507,8.00050780346874e-41,3.81331021797434e-39,0,0,0,0,0,0,243.380303814887,518.104896012098,312.588469393888,1533.25388725524,1441.83085752708,1181.69124438305
HOXB6,971.208569080508,13.997162404891,2.46321886960783,4.64814658562544e-44,2.55267690148382e-42,0,0,0,0,0,0,367.537147990724,484.537536552159,375.412622556385,1032.85395424859,1156.97658797504,931.231318854285
HOXB5,1153.75826043898,13.7999237230569,2.47199354717771,1.07458245270425e-39,4.93939920554673e-38,0,0,0,0,0,0,206.379919788975,320.34936528072,225.247573533831,1226.95926634014,1026.25579304363,848.63283277565
HOXB8,4914.77443313722,13.67093828301,1.276619582987,4.33874208717396e-50,3.09758490925792e-48,0,0,0,0,0,0.88197706232643,948.854292575605,1347.07272963145,1075.16132038257,4022.78807353029,3775.29459988484,2729.74674153423
HOXA2,302.708731591403,13.6545929601439,2.47963212998283,4.6510590773642e-43,2.45773680851899e-41,0,0,0,0,0,0,337.114610013863,377.997656527136,390.224821269494,760.394204248532,842.856468811499,659.455654982648
HOXD4,442.655296319409,13.6454147279331,2.47507798105022,7.63534788080199e-42,3.74020581226731e-40,0,0,0,0,0,0,263.11384196204,241.539043070429,363.154251207605,781.763596405399,801.884279355384,931.231318854285
FAM181A,244.053349371597,13.5897613670277,2.5289542992186,1.49951472663909e-38,6.40970912769103e-37,0,0,0,0,0,0,309.158764305397,440.024299007458,257.936563797244,804.913771242006,770.667373103106,587.51503807545
HOXC-AS2,419.601370749639,13.5294788404675,2.45489179238966,1.83049610603909e-40,8.63886031478785e-39,0,0,0,0,0,0,279.558457084667,461.186329971332,265.598045890232,829.844728758351,741.401523491596,611.495243711183
