"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,GM25256_day14-1,GM25256_day14-2,GM25256_day14-3,NCRM_day14-1,NCRM_day14-2,NCRM_day14-3
HOXB-AS3,1292.07029712052,16.6254594557752,2.56044193483295,2.69744429377879e-64,4.81581766579529e-62,0,0,0,0,0,0,4002.68895859073,4090.92520962664,3350.41318927203,4733.13773430176,4891.98720252011,3114.60857540755
HOXB9,23026.028835501,16.4854023649177,1.2840470695979,1.68921412992719e-74,4.36934521008727e-72,0,0,0,0,0,0.88197706232643,9897.20899265647,10410.6669786361,9166.6553163216,22127.076147645,23233.2845081382,18844.4547458548
HOXC6,3061.65070150248,15.9511883378692,2.39036959327788,1.3869806584257e-59,2.07101430133111e-57,0,0,0,0,0,0,2275.38749928187,2606.18458215947,2072.97867333031,3781.02602399001,4110.54507400019,2761.38852499037
HOXA-AS3,549.031768833767,15.9342763023928,2.60319539985302,2.90603266969633e-57,3.99427502926881e-55,0,0,0,0,0,0,2715.51719804807,3064.56946858314,2303.40906762452,1991.05600860393,2724.41558412557,1794.15978880127
HOXC8,1892.72307562395,15.1210244217942,2.48999746938225,2.31981105895976e-46,2.08782995306379e-44,0,0,0,0,0,0,1381.11453822743,1710.73503658767,1335.60141158881,1730.55824466263,1989.48786801755,1322.09934758953
HOXA9,1936.0783297375,14.0171832227977,2.41562176876047,6.11962181976614e-43,4.4973059682174e-41,0,0,0,0,0,0,476.46115974926,442.181513694269,391.060513811933,1064.84173681266,1298.41659789789,963.927614222579
HOXC9,1364.20187511204,13.9655229942481,2.42685219860218,7.62946652167659e-46,6.61287533607061e-44,0,0,0,0,0,0,565.732749593348,583.321418258207,456.386412000197,926.214271791268,1037.93588839125,767.510857214896
HOXD4,442.655296319409,13.935730788362,2.47314542003481,8.35326199075562e-44,6.4565801505017e-42,0,0,0,0,0,0,624.901128908616,607.626477352299,499.340427247274,741.885444674914,1065.84453583839,574.395222173729
TFAP2B,4251.56994974791,13.8274733257842,0.652991969099831,1.17693171870221e-96,6.23583983215604e-94,0,2.14465240593981,1.10471599217192,0,0,0.88197706232643,9750.84510698186,10067.4113195002,10547.8953691104,10962.2333878453,10077.6796948411,18167.7247427191
TBX2,119.097571981476,13.5387367319043,2.82133781100827,1.39562959258442e-20,2.90167291875938e-19,0,0,0,0,0,0,498.260036339096,606.773668261278,384.796386588401,423.499288746665,510.329553319131,643.718783470558
NR2F1,8251.69994563381,13.4751594903681,0.520472693335332,4.20809256457309e-144,6.58265908315363e-141,0,0.714884135313271,0.552357996085961,4.08990130272024,1.538371915897,0,10808.0906215889,11524.4356515092,11580.5814856756,10499.1262519497,11195.3545759384,15526.8271695065
HOXA3,348.866207563915,13.3600353328799,2.47185994665063,1.05751574198037e-40,6.77181133022515e-39,0,0,0,0,0,0,426.635156115351,506.995004611848,446.990221164899,457.013620949639,575.449730695791,353.220050417178
HOXC-AS2,419.601370749639,13.2429704387351,2.46700355391278,1.4855856519164e-38,8.76148809074572e-37,0,0,0,0,0,0,318.15979403736,361.164650047296,261.303592753054,542.322830193571,668.478555519591,445.651465479617
MSTN,583.17159940475,12.9803883221942,1.46200993629741,4.28271334354931e-31,1.68487584833048e-29,0,0.714884135313271,0,0,0,0,782.164452878143,715.506827366426,791.069780800341,2169.29132077429,1719.70427602853,2505.5515725854
HOXB8,4914.77443313722,12.9266254653996,1.29034091880296,9.63185138878388e-45,7.89043187335537e-43,0,0,0,0,0,0.88197706232643,1139.25081225449,1179.43497288173,1070.71831756517,1729.03486592613,1678.50579646371,1366.66449413749
EMCN,63.2503829606349,12.8994303270541,2.88692700614,4.82477482795649e-19,8.87423589576544e-18,0,0,0,0,0,0,307.779376613629,301.468013675842,116.781228952992,265.06790015079,190.044599282906,665.17607625291
HOXB4,914.879627687103,12.6350173915575,1.3071993767085,1.32097513264569e-41,8.81992542833552e-40,0,0,0.552357996085961,0,0,0,1115.37585217991,999.492254676343,861.764930894489,1156.24446100259,1472.51339863958,892.953491942492
HOXA2,302.708731591403,12.5310458408125,2.43808910585485,5.10913393765835e-36,2.61833151095284e-34,0,0,0,0,0,0,213.317578057675,225.994409120504,225.95601770598,312.292640982253,330.916819730374,308.654903869216
HOXA-AS2,148.094804093416,12.5008531029137,2.47644614907283,2.46011532515554e-35,1.2226140458602e-33,0,0,0,0,0,0,273.523999115316,225.141600029483,212.532887941268,295.535474880766,330.916819730374,196.416757007683
NR2F2,10804.0343322487,12.4581953344672,0.449689241821276,2.72518268265139e-166,5.96815007500653e-163,0.983394839608944,1.42976827062654,1.65707398825788,1.36330043424008,2.05116255452933,1.76395412465286,7926.48674476111,8368.61561018682,8736.22028853318,9499.78980080649,9577.98200721609,11966.5671286193
HOXA1,69.4428437079322,12.4464665712066,2.53931957988992,1.21440426358243e-35,6.10921593547978e-34,0,0,0,0,0,0,182.176325786482,223.862386392952,167.341684400072,263.544521414292,321.613937247994,244.28302552216
HOXB6,971.208569080508,12.3449237863189,2.37832811917996,3.36944577611694e-34,1.58123276779202e-32,0,0,0,0,0,0,214.355619800048,212.349463664172,213.427763258916,292.488717407769,374.773265718737,207.970683890488
NR2F2-AS1,273.095028633586,12.2566459057469,2.42530969867943,2.73303799352333e-34,1.29180285017613e-32,0,0,0,0,0,0,303.10818877295,234.522500030712,271.147221247176,176.71193343386,180.741716800526,178.260586191847
LUM,856.874859360732,12.2545857420211,1.09785807296027,1.52960266353895e-36,8.0395915995607e-35,0.983394839608944,0,0,1.36330043424008,0,0,445.838928349253,498.893318247151,418.35421100018,2670.48292508239,2709.79676879612,2701.96832959309
HOXA5,667.584947866068,12.2073184025749,2.40667684786739,6.26248570715119e-31,2.45492428973647e-29,0,0,0,0,0,0,140.135635220371,122.804509106991,131.546671694174,371.704411705706,364.141400024588,245.933586505418
HOXB7,1856.60925614102,12.1822755227576,0.978954968672008,1.48354465705176e-45,1.26582966192598e-43,0,0,0,0,0.512790638632332,0.88197706232643,1399.28026871896,1435.27770018796,1045.21437101222,1457.87345082935,1872.53734538192,1038.20285846918
URAD,26.4052453186232,11.9258980828614,2.86626318704775,1.28433074133687e-28,4.39481925551211e-27,0,0,0,0,0,0,136.502489122065,191.882045479673,99.3311602588664,123.393677656402,154.162052565154,79.2269271963764
ITGA8,420.07953762482,11.8511737902947,1.05531562291295,1.52399616296628e-31,6.20362750352445e-30,0.983394839608944,0,1.10471599217192,0,0,0,2305.49070981069,2258.66487756851,2502.51882580108,758.6426107764,651.2017737666,1104.2252977995
GUCY1A1,1047.63925740958,11.8387104043927,1.30642452139435,2.725075021401e-36,1.41643535526935e-34,0,0,0,0,0.512790638632332,0,544.452893874699,528.741636432878,544.979068447294,732.745172255921,812.008742390597,612.358124788659
HOXB-AS4,100.25594119298,11.8234791744565,2.49339974952521,1.807348206109e-26,5.44691638263124e-25,0,0,0,0,0,0,178.024158816989,189.323618206611,152.576241658889,164.52490354187,208.650364247666,112.238146861533
FAM181A,244.053349371597,11.6726574822075,2.43153541172621,2.6473199693393e-28,8.85585142492833e-27,0,0,0,0,0,0,144.80682306105,137.302263654344,99.7785979176901,202.60937195434,199.347481765286,146.899927509948
HOXB5,1153.75826043898,11.467393914623,2.35836083389179,2.50344524153157e-27,7.91512764045351e-26,0,0,0,0,0,0,119.893821244095,101.484281831472,99.3311602588664,201.085993217841,215.295280306509,130.394317677369
HOXC-AS1,185.462241957172,11.2828705779111,2.40525596978616,6.29136968512864e-28,2.04422842884744e-26,0,0,0,0,0,0,112.108508176297,134.743836381282,91.2772824000394,126.4404351294,167.45188468284,84.1786101461499
HOTAIRM1,73.435551531213,11.1694878451773,2.44802606772401,6.36664645505465e-27,1.97305977404288e-25,0,0,0,0,0,0,93.942777684767,75.0472000098278,64.431022870616,169.095039751366,140.872220447469,103.985341945244
CCDC140,205.092164479857,11.1240960100625,2.40416388916808,9.70649522833953e-26,2.77751191856231e-24,0,0,0,0,0,0,91.3476733288342,72.0623681912551,104.252974505927,94.4494816629253,112.963573000329,183.21226914162
HOXC10,1323.10194544397,11.0956363894087,1.33774549971858,3.03522455060474e-29,1.0861342754615e-27,0,0,0,0,0.512790638632332,0,232.521350291578,208.938227300089,143.180050823591,572.790404923547,761.507380343391,394.484074998624
PANTR1,1664.19693904757,11.0888366860238,0.843551560698866,1.17794314589769e-41,7.88094345065972e-40,0,0,0,2.72660086848016,0.512790638632332,0,1165.72087668501,1026.3557410435,1081.45682137694,923.16751431827,918.327399332082,698.187295918067
S100A9,37.8569821635504,10.9442265395427,3.57181036529507,5.00842665084721e-06,2.49964775874097e-05,0,0,0,0,0,0,10.8994382949177,14.9241590928635,17.4500686941252,332.096564556738,341.548685424523,214.572927823519
VGLL1,28.4862179787023,10.8128385785896,3.47641022336678,2.32753827374665e-06,1.22806990511689e-05,0,0,0,0,0,0,1.03804174237312,2.55842727306231,1.78975063529489,234.600325420815,249.848843812491,194.766196024425
NEUROD4,1652.44075473254,10.7725567036699,0.970153522303352,3.93252634296175e-31,1.55082221328084e-29,0,0,0,1.36330043424008,0.512790638632332,0.88197706232643,850.675207874768,678.409631907023,973.176907941596,848.521956229829,612.661260625311,803.823198846569
HOXD3,490.250165695596,10.7561643672023,1.29444200907554,4.66255947610461e-31,1.83211816734494e-29,0.983394839608944,0,0,0,0,0,287.537562637353,286.117450037469,213.875200917739,335.143322029735,426.603610977711,295.450416003154
DCN,387.358025930204,10.7439607337515,1.15320418176802,1.4331736677063e-21,3.18106452595621e-20,0,0,1.65707398825788,0,0,0.88197706232643,168.681783135631,183.780359114976,150.786491023594,1604.11780953323,1881.8402278643,1954.26420417728
POU3F3,4312.31488231754,10.5666922879979,0.389424340545124,1.40079606963968e-161,2.87600943047896e-158,0.983394839608944,1.42976827062654,2.20943198434384,5.45320173696033,5.12790638632332,2.64593118697929,4643.67973450613,4962.92250519537,5192.5140306493,3928.79376143039,4199.58694918868,4657.88309475363
PHOX2B,146.117826932999,10.4745106285115,2.64107973258675,1.05077050782539e-11,1.0393800416159e-10,0,0,0,0,0,0,139.616614349184,124.510127289032,110.964539388283,50.2714983044603,58.4752613178171,21.4572927823519
MMRN1,3019.409156424,10.450628505291,1.03786690421061,5.41536149637893e-26,1.57988121808213e-24,1.96678967921789,2.14465240593981,1.65707398825788,8.17980260544049,1.02558127726466,0,5446.08600136055,4840.9708051794,6239.51815229681,2350.57339041764,1988.15888480578,2370.20557195826
HOXA10,394.358182216213,10.3709912561938,2.35303423139701,1.07711513443196e-21,2.41194493293047e-20,0,0,0,0,0,0,39.964607081365,48.6101181881839,25.9513842117759,91.4027241899278,166.122901471071,49.5168294977352
BMP5,1055.17686988755,10.3546957747519,0.67801860481385,7.4281333398196e-54,8.97710506721864e-52,1.96678967921789,1.42976827062654,2.20943198434384,1.36330043424008,0.512790638632332,1.76395412465286,2156.01269890896,1868.078313881,2220.63310074213,2158.62766961879,1860.576496476,2573.22457289897
FAP,20.5251847425448,10.3463340370211,2.54630050626154,1.51255416044652e-18,2.68580563084694e-17,0,0,0,0,0,0,51.3830662474692,54.1533772798189,46.9809541764909,70.0754218789446,61.1332277413543,82.5280491628921
CDX2,346.498015046687,10.2973009088638,0.594804874301212,2.61705333466184e-68,5.3731376277276e-66,2.95018451882683,1.42976827062654,0,0,1.02558127726466,2.64593118697929,1605.33155458002,2304.29016393812,1557.53049036538,1605.64118826973,1962.90820378218,1104.2252977995
LRRC53,50.5032918548238,9.92414291916453,2.54112249447006,1.21442394907133e-14,1.55774411272914e-13,0,0,0,0,0,0,7.26629219661181,12.3657318198012,12.5282544470642,76.1689368249398,126.253405118014,67.6730003135715
ASCL1,1727.52581444717,9.88776178193356,0.615042705017377,3.01012890371858e-57,4.12011393696481e-55,0,1.42976827062654,1.10471599217192,0,1.538371915897,1.76395412465286,1422.63620792236,1330.80858653791,1870.73685154198,648.959341748487,572.791764272254,777.414223114443
DLX6-AS1,48.4395958147619,9.87231713370045,2.73838762069367,1.36578771747381e-09,1.07773544364676e-08,0,0,0,0,0,0,1.55706261355967,2.13202272755193,3.57950127058978,153.861252386378,83.72594234142,92.4314150624391
HES5,2113.07793875201,9.80897579573115,0.581184334880665,6.77368100795519e-66,1.27151669206473e-63,1.96678967921789,0,0.552357996085961,5.45320173696033,3.58953447042632,1.76395412465286,1676.95643480377,1497.95916837798,1710.10673202427,2557.75289858148,2628.72879287823,1620.8508855592
VAX1,99.554129224352,9.66025473356101,1.14844280135287,1.18517061971414e-21,2.64669305626169e-20,0,0,0,1.36330043424008,0,0.88197706232643,162.972553552579,193.161259116205,172.710936305957,322.956292137745,352.180551118671,434.097538596812
HOXB3,2207.96653625217,9.58629228417958,0.422538190981778,5.42230975139454e-115,4.94785764814751e-112,2.95018451882683,3.57442067656636,3.31414797651577,4.08990130272024,5.64069702495565,7.93779356093787,3689.20035239405,3429.99816408554,3312.82842593084,3777.97926651701,4816.2351594493,2830.7120862872
TFAP2A-AS1,30.2124736017805,9.58108110607776,2.39530716987627,1.49972691158098e-19,2.87265475483588e-18,0,0,0,0,0,0,34.7743983694994,28.9955090947062,22.8193206000098,56.3650132504555,39.8694963530571,52.8179514642509
HOXA6,116.503954795631,9.48844319097798,2.35020775038979,1.1767204738602e-17,1.92314764011481e-16,0,0,0,0,0,0,22.8369183322085,26.0106772761335,21.9244452823624,54.8416345139567,54.4883116825114,57.7696344140244
EMX2,49.3065552677577,9.41821199015097,1.09414681903314,1.43124430591308e-22,3.3751884744612e-21,0,0,0,1.36330043424008,0.512790638632332,0,76.296068064424,89.9713591026913,94.8567836706291,330.573185820239,300.350205859697,382.930148115819
HOXC5,17.1821548329704,9.40235692054955,2.42219130650435,5.34908463895663e-18,9.06694687253485e-17,0,0,0,0,0,0,33.2173357559397,30.7011272767477,20.5821323058912,51.7948770409591,37.21152992952,31.360658681899
