"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,GM25256_day35-1,GM25256_day35-2,GM25256_day35-3
HOXB9,28484.5648342728,18.5616885199837,2.50781462945162,1.44412954329347e-49,3.90995948340651e-48,0,0,0,46008.9272585704,45310.0033531569,43113.9555178632
HOXB8,6596.33380659396,16.0566766989946,2.52242690166977,1.72452729867854e-37,3.11537501678225e-36,0,0,0,7095.75544905905,8069.65491519632,8392.65620967199
HOXC6,3837.44847779443,15.6664622970687,2.51086555674853,1.43533999627714e-35,2.42681014496605e-34,0,0,0,5184.88930054784,6966.13576663028,6085.25108924694
HOXA9,2602.8852220798,15.6476852866554,2.54924374294194,1.27162655706159e-35,2.15340358363633e-34,0,0,0,5265.07500663757,6280.20140753402,5832.10270595622
LHX9,2128.65955934961,15.5186312814892,2.65748104874434,7.60058553618821e-34,1.21428312447132e-32,0,0,0,3711.64683611957,5833.8648784614,5202.25983843862
NEUROD4,2390.78563776852,15.2583153096112,2.52605778465163,1.00621850349365e-33,1.60436780903753e-32,0,0,0,5065.29028129536,4304.54615768192,4234.48204777216
HOXC9,1792.47703433499,14.7610149255003,2.52198674653405,5.17524571709489e-32,7.73092854407047e-31,0,0,0,2886.68541923031,3340.67831575823,3414.47508371559
NR2F1,13078.9356209447,14.6765819331705,0.964976254713972,4.52204434096364e-47,1.11807719987943e-45,0,1.06979104468705,0.815642220826673,22492.7700980516,20853.2259948007,20918.0506192864
CLEC3A,806.973041613572,14.6414886642978,2.7222948612428,8.24676236404021e-30,1.12778153790647e-28,0,0,0,1696.13154576244,3350.26222895918,2661.08611526185
HOXB7,2713.96504610474,14.5040373568762,2.49057998835648,8.24302048798773e-31,1.17363695510527e-29,0,0,0,2540.12007935096,2838.20743793722,2948.14911449583
PANTR1,3032.98248595171,14.4328845379876,2.4715808538439,1.50680793853449e-30,2.12378113648434e-29,0,0,0,2904.35345616533,2519.20004139145,2638.07262587178
HOXB5,1331.00585704014,14.4153986041726,2.56078318252048,1.01965812968019e-29,1.38970510206032e-28,0,0,0,2232.96805263437,2604.08612974269,2621.11531790016
ST18,3242.54386434885,14.3758190806772,1.29584827298516,1.53454143541718e-33,2.43229728650664e-32,0,1.06979104468705,0,11538.5871983358,9225.20102113892,8855.34847004068
HOXA5,971.746745555693,14.3442659985247,2.5554091175879,7.16148286022778e-30,9.84803315832774e-29,0,0,0,2031.82424752792,2712.24743586765,2340.10850008461
HOXB6,1379.38693166331,14.1194890364502,2.52075101646429,2.64766342993866e-29,3.56476709061419e-28,0,0,0,1966.58841884475,2142.68916564001,2112.39607875133
