"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,GM25256_day21-1,GM25256_day21-2,GM25256_day21-3
HOXB9,28484.5648342728,17.1028483458634,2.45631972231594,2.14288963257435e-42,6.06718584448844e-41,0,0,0,12563.9617930364,24820.4302625283,13985.8174143765
PANTR1,3032.98248595171,15.5348500973715,2.5213109257003,4.64837288523496e-35,9.9561157632391e-34,0,0,0,6037.52923814812,5380.846594602,5072.71702689467
LHX9,2128.65955934961,15.5174069542986,2.65804426405281,7.72315657950016e-34,1.57257341307571e-32,0,0,0,4724.43978146688,3440.10431501554,6562.38430018983
NEUROD4,2390.78563776852,15.1583830287709,2.52149902891105,2.60019807936681e-33,5.17339781031992e-32,0,0,0,4167.26068982033,4650.01850188916,3932.44992965607
HOXC6,3837.44847779443,14.4212375650083,2.4559055690961,1.82802201114219e-30,3.23516682697578e-29,0,0,0,2228.71636658618,3562.09382973241,2326.56747901164
NR2F1,13078.9356209447,14.2111128951465,0.963723566172497,2.58913107623696e-44,7.77512197819217e-43,0,1.06979104468705,0.815642220826673,13122.3600949492,18773.0773193369,14804.6061638827
HOXB8,6596.33380659396,13.6839318043977,2.41722285575079,8.17637040418597e-28,1.29216355449953e-26,0,0,0,1406.96864717749,2047.20585606663,1588.52563844292
HOXA9,2602.8852220798,13.4606676672556,2.44621692756417,6.58058020174157e-27,9.95030708569585e-26,0,0,0,1289.92446162373,1583.64570014255,1344.0209796042
HOXB-AS3,2007.53402119572,13.4563749476723,2.458420951446,7.52112856319346e-27,1.13511566200808e-25,0,0,0,1460.61389888963,1316.37776335379,1385.52640008608
MMRN1,7908.90506674159,13.1648831182461,0.575127230105084,2.50827134431095e-114,3.79090474723278e-112,2.89163239894311,3.20937313406114,2.44692666248002,34537.7884204887,16944.3435941723,29692.2231687292
HOXC9,1792.47703433499,12.9872104883375,2.43453858733825,2.90158530566401e-25,4.08072669986614e-24,0,0,0,1066.80898291188,1076.8347162734,931.230706811666
HOXB7,2713.96504610474,12.9762888581851,2.41690178369371,4.28300019428849e-25,5.96875940495822e-24,0,0,0,1064.37056237951,1018.05795009164,1026.31585191561
TRDC,233.561379297684,12.9700279027749,2.60355157617205,2.40419843749156e-23,3.08842602153744e-22,0,0,0,1272.85551789714,545.625829460879,906.327454522537
NR2F2,13401.1961232005,12.6797584701651,0.619855655104736,5.72123421217273e-90,5.40111354129808e-88,1.44581619947156,2.13958208937409,2.44692666248002,11499.5912306569,19671.3637458884,12781.4055763932
ST18,3242.54386434885,12.663917042242,1.28505966276008,1.18997732823336e-26,1.78424546578893e-25,0,1.06979104468705,0,2521.32683047058,3386.87252677546,3349.11011088345
NR2F2-AS1,501.763210945683,12.4694176467022,2.46279179257611,3.50811302886611e-23,4.45671565214119e-22,0,0,0,758.34878556707,678.705300061093,677.670319867809
TLX3,546.261188135417,12.3951773765155,2.46930337328217,5.92178747582783e-22,7.04747439637152e-21,0,0,0,582.78250723643,1025.82091920999,439.202813099181
HES5,2983.20703424317,12.2129383597129,0.828744897611402,2.78609724802136e-46,8.79314143218663e-45,2.89163239894311,0,0.815642220826673,5582.76380886112,6414.43048293033,4939.89968135265
HOXB6,1379.38693166331,12.1431832930879,2.36417829467895,1.7987004848463e-22,2.19915556430581e-21,0,0,0,544.986988984695,736.37307065452,554.663346439688
HOXA2,423.985201571964,12.0951102555176,2.45423380260811,8.46675772603771e-22,1.00132940748202e-20,0,0,0,499.87620913585,574.459714757592,576.548022693771
NDST4,364.549027101925,12.0393864237216,2.47134001052373,1.87197784699736e-21,2.17397946791266e-20,0,0,0,554.740671114175,604.40259564264,415.808848827575
HOXA5,971.746745555693,12.0071460412765,2.43044350673229,1.43581719776662e-21,1.67774327515437e-20,0,0,0,458.42306008556,552.27980299089,574.284090667486
CCDC140,366.438849227759,12.0003205221394,2.47748190954112,2.81717711749052e-21,3.23548218930628e-20,0,0,0,455.98463955319,654.307397117721,415.808848827575
HOXC8,1963.87636314147,11.9633459929449,2.39083330003219,3.59914556406681e-21,4.11301718134323e-20,0,0,0,360.88623879076,787.386867717935,461.842133362026
FAM181A,369.122322345852,11.9605544685492,2.48033724163611,1.74867795750666e-20,1.92917891734251e-19,0,0,0,458.42306008556,668.724339766077,381.095224424547
HOXC-AS2,596.476211996988,11.9310923325587,2.44399684191432,7.15880846935717e-21,8.03824074801346e-20,0,0,0,414.5314905029,700.885211827796,392.41488455597
HOXD4,565.227649998615,11.6986904597318,2.42560079853011,2.09808617078317e-20,2.302815888505e-19,0,0,0,390.1472851792,367.077539738925,536.551890229412
GUCY1A1,1155.10191124079,11.5102309775828,2.39573057714724,4.99629110469613e-20,5.38829491599256e-19,0,0,0,364.543869589315,466.887142689085,334.307295881336
LUM,880.275131920822,11.4985183179858,1.28910228069827,3.35276086540219e-22,4.03635294611171e-21,1.44581619947156,0,0,1749.56673197548,683.141282414434,1773.41342058948
HOXB5,1331.00585704014,11.4554658322589,2.40203449453943,1.46337449272283e-19,1.54051509711358e-18,0,0,0,306.021776812435,486.849063279118,332.798007863813
HOXC10,1227.90792666948,11.4278215583566,2.39987097463527,2.14957931267683e-19,2.23728604053322e-18,0,0,0,268.2262585607,560.042772109236,282.236859276794
EBF2,1913.08805663483,11.4114798960527,0.837619999687484,2.05723607726921e-40,5.41066534309235e-39,4.33744859841467,0,0,2523.76525100295,4295.13991362192,3011.02959495831
POU3F3,5557.1162995756,11.1739830673445,0.599889537885333,1.84318186510047e-75,1.28432274028819e-73,1.44581619947156,2.13958208937409,3.26256888330669,3862.45812327408,8344.08280663344,5728.50267050839
HOXA3,474.154678564712,11.0822065877975,2.39773559345924,1.18871692218641e-18,1.19249533060221e-17,0,0,0,245.061263503185,333.807672088871,289.028655355647
PRSS56,734.733584390347,11.060112967255,0.837574613197739,1.1899112054225e-37,2.81866236386762e-36,1.44581619947156,0,1.63128444165335,3174.82353314574,2042.76987371329,2278.27026245091
