"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day21-1,NCRM_day21-2,NCRM_day21-3
HOXB9,18134.1474708913,16.3510751403056,1.25796519643229,1.07201479799471e-46,1.73272471473377e-45,0,0,0.586173260804951,22117.3303994602,20802.3407576578,15848.3317760673
HOXC6,2389.87389702379,15.6688547376145,2.47920040436751,7.54447295618847e-36,9.07220478417669e-35,0,0,0,3485.73427521604,3199.45492356936,2607.36396225469
HOXA9,1438.44514066436,14.9762044423393,2.48502803263421,8.25388102865203e-33,9.0518729999671e-32,0,0,0,2183.66081394617,1976.94149752222,1583.04240565464
BHLHE22,584.884841149103,14.5443101383624,2.58002725078554,4.79107249421625e-30,4.8122419555728e-29,0,0,0,1572.04465599188,1362.41603202259,1057.45083771387
HOXA5,465.029955755025,13.9183110880196,2.49456170386263,3.02381535178687e-28,2.85834042651443e-27,0,0,0,1050.02070867543,942.708214096244,772.718097330289
HOXC8,1650.93498880897,13.8515155533592,2.4296731210273,3.25386598998413e-28,3.06967470469453e-27,0,0,0,1028.51857812235,966.24323192389,794.207360755465
HOXC9,1028.06898483614,13.7317351260452,2.44682828424292,7.69340179889e-28,7.16277890286564e-27,0,0,0,984.319754207682,838.108134862264,702.877991198467
TFAP2B,2954.85628411917,13.5210076876432,1.29917889668212,1.06838128814619e-30,1.09595863908571e-29,0,0,0.586173260804951,2458.4102599022,2664.68701848564,3360.3835681119
HOXB6,685.906807181598,13.4773613778928,2.46825381832516,1.59819138649765e-26,1.41472299835921e-25,0,0,0,692.846428932592,775.348087321876,625.874797258252
HOXB5,951.672331718406,13.4603901738371,2.46087905337083,1.57992505811483e-26,1.39898942120078e-25,0,0,0,823.053775059579,687.745520963418,570.360866743214
HOXB8,3632.02092426454,13.2734882269613,1.25839516040831,2.05527532937603e-31,2.14708266486102e-30,0,0,0.586173260804951,2698.5173844116,2530.01441647189,1834.6458649244
MSTN,526.299913733003,13.2359242527158,2.57287151860632,2.62922720616698e-20,1.82797873900746e-19,0,0,0,373.898159061899,479.852863485883,1029.69387245635
HOXB-AS3,827.90229744365,13.1887718332583,2.45682919365653,2.71237738034781e-25,2.30134975403354e-24,0,0,0,611.616157954288,499.465378342254,628.560955186399
HOXD4,340.852965550874,13.1718826132525,2.47727305929,2.6829728374674e-25,2.27708103872868e-24,0,0,0,524.413072933462,537.382907064572,625.874797258252
ST18,1472.06071899324,13.1009349676616,0.975365720113486,1.39871645894223e-39,1.87385800003977e-38,0.910839929234638,0,0.586173260804951,4395.99113529644,3900.27545443703,2594.82855859001
HOXB4,807.31057428408,13.083913217733,2.42931881603304,2.47677759974804e-25,2.10522391555012e-24,0,0,0,530.385886975984,621.062970451756,496.043830731147
HOXA2,217.589389482927,13.0560638659725,2.50606843900353,5.56574181003458e-25,4.66108321639059e-24,0,0,0,510.078319231408,564.840427863492,443.216058144256
FAM181A,164.194674118933,13.0171652303165,2.54130570736336,3.11388544683856e-24,2.54328988134284e-23,0,0,0,539.94238944402,516.462891217776,394.86521543761
HOXC-AS2,298.069913649821,12.9780132187083,2.48894508813936,1.47387884234303e-24,1.21709582403886e-23,0,0,0,556.666268763082,496.850376361405,410.982163006492
NEUROD4,1155.86191570761,12.802346773076,0.812478923617324,2.03300683330107e-52,3.82315613290866e-51,0.910839929234638,0.342696025083394,0.586173260804951,4670.74058125247,4365.74580702824,3488.42376268691
NR2F2,8498.23600362592,12.7394134578545,0.54431063105323,9.79309666921232e-117,6.41177054966977e-115,0.910839929234638,1.37078410033358,1.1723465216099,8829.01371765653,8732.7991150469,8895.65967204683
HOXD3,452.278314590716,12.6567811084626,2.44129425665706,9.79739399264411e-24,7.84426459005304e-23,0,0,0,403.76222927451,430.167825849743,383.225197748973
PRDM8,607.850001995458,12.6189257237676,1.2716320933183,1.97443621162458e-28,1.87763068786186e-27,0.910839929234638,0,0,1820.51372016081,1587.30620237565,1025.21694257611
