"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day35-1,NCRM_day35-2,NCRM_day35-3
HOXB9,18134.1474708913,16.760578632222,1.21174989319376,1.29556257585309e-49,1.17394238305096e-48,0,0,0.586173260804951,27010.3525808073,28550.8323055557,29248.3918595976
HOXC6,2389.87389702379,16.0301890614219,2.49431442952892,1.96520989155511e-37,1.38727593991071e-36,0,0,0,3797.31244101115,4206.38204708071,3759.09718531308
TRIM67,1288.67408803659,15.8326431711864,2.62523459404217,9.69094663413337e-36,6.58641525777247e-35,0,0,0,3694.03196004359,2699.65214602568,2876.48985515876
HOXC8,1650.93498880897,15.7750806679334,2.51568544916925,5.09716184942429e-36,3.48588842614927e-35,0,0,0,3478.44649006276,3240.03572708075,3000.52740538121
HOXA9,1438.44514066436,15.6728245940313,2.51592896488102,9.39503069734068e-36,6.38970076277756e-35,0,0,0,2918.9269912288,2883.17864525193,3228.35147721837
NEUROD6,459.719025110831,15.4744223974477,3.11170760788495,5.50603253169791e-30,3.27626654163883e-29,0,0,0,2094.6885897207,1753.69765927308,1491.82577410405
GRIA2,1574.34953547641,15.4487718258315,2.54457389363608,1.90394365307369e-34,1.25901146571714e-33,0,0,0,2943.99506913354,2359.78825856965,2281.61588980619
POU4F2,771.820116221074,15.3726764676796,2.60720534505736,1.24262774077689e-33,8.07094219777919e-33,0,0,0,2023.49524847122,2235.17149983578,2610.69510468208
HOXB5,951.672331718406,15.308266164273,2.54994183740018,9.42277626935879e-34,6.14172363800352e-33,0,0,0,2484.74788191857,2321.27035132464,2058.01078226231
HOXC9,1028.06898483614,15.1628287468659,2.5117108460191,1.5544821018849e-33,1.00567139698808e-32,0,0,0,2261.14062700822,2049.37924135982,2070.66767514215
HOXB8,3632.02092426454,15.1405470540574,1.27028002054195,4.96209210602334e-40,3.70061746802875e-39,0,0,0.586173260804951,8075.93197779345,8667.66200975344,8402.48928649778
HOXB6,685.906807181598,14.6239633343305,2.51906224820204,6.46839918974896e-31,3.933557862872e-30,0,0,0,1451.94307224297,1522.59021580298,1429.38510256349
ADCYAP1,799.63297361836,14.3722200236803,2.53117897383072,6.39243682722454e-30,3.79759525167546e-29,0,0,0,1143.10435245648,1217.84559671742,1301.12858804776
MAB21L2,2834.02175855618,13.9901657040244,0.843836671795689,3.33917562910093e-57,3.47727951379623e-56,0,1.02808807525018,0,9436.62724646314,8778.68421298908,9691.80477452436
HOXD3,452.278314590716,13.7920100954393,2.49971049697443,7.97812252126728e-28,4.49329439923268e-27,0,0,0,862.341879923313,734.10599690501,920.578008793842
HOXB4,807.31057428408,13.7856466125972,2.46392221316195,6.58370063671429e-28,3.71715235376321e-27,0,0,0,900.445358338529,888.177625885074,796.540458571391
BHLHE22,584.884841149103,13.6928199875275,2.53589085004097,7.60950709415223e-27,4.16930589782199e-26,0,0,0,1090.96275041461,609.489238171135,606.68706537376
NR2F2,8498.23600362592,13.5409442410477,0.545421544544727,1.98500023201885e-131,5.97418431986548e-130,0.910839929234638,1.37078410033358,1.1723465216099,15918.2294695146,14482.733124126,15501.3186063718
HOXA5,465.029955755025,13.5085995218528,2.48539925875018,1.13589243031126e-26,6.18655698651667e-26,0,0,0,714.941581843398,800.945894771361,589.811208200638
KLHL1,278.981619150533,13.4497828854127,2.59684256635445,1.09344590294107e-25,5.8277061860046e-25,0,0,0,731.987874818626,552.845256928464,577.154315320796
TFAP2B,2954.85628411917,13.1973007722995,1.29752363954958,2.26177737779838e-29,1.32609361320185e-28,0,0,0.586173260804951,1871.08133481035,2665.66575728008,2269.802789785
NTRK2,13296.5055750283,13.0375318520374,0.356637754951842,9.99458099803935e-290,1.46381029122274e-287,1.82167985846928,3.08426422575055,4.68938608643961,28088.2799307114,28502.118481687,28744.6475229799
HOXA7,288.634791141909,13.0106622107172,2.47025129346817,8.17484010754129e-25,4.270751272852e-24,0,0,0,520.413297302557,515.460229308302,480.11813657534
ST18,1472.06071899324,13.0059250123632,0.975049335518608,4.73627187859374e-39,3.45981737106656e-38,0.910839929234638,0,0.586173260804951,2848.7363730955,4014.92539048049,3341.41972027829
HOXC10,1218.5328423745,12.9835538512838,1.27459000931766,1.35708628464348e-29,8.00426589537029e-29,0,0.342696025083394,0,2361.41293862721,1538.45053055093,1797.27878893757
HOXC-AS2,298.069913649821,12.9823983181193,2.48471040344199,1.35157315037013e-24,7.02129791987716e-24,0,0,0,416.130093218808,565.306932801852,491.08744373787
SMIM18,170.539111414063,12.9817526036842,2.57922720478647,3.07675329051675e-24,1.58415847720045e-23,0,0,0,453.230848517834,525.656145931982,386.457129264509
VWC2L,169.005736036889,12.961281663044,2.73683733951373,1.34457161125993e-23,6.79288782771943e-23,0,0,0,467.268972144493,334.199489331756,399.114022144351
LRRTM2,1487.95972537127,12.9080515883437,0.807097940707164,1.37804620603528e-53,1.3424266383126e-52,0,1.02808807525018,0,4310.70667650037,4326.46728731517,4644.23589404336
HOXD8,256.323222739573,12.8745609998452,2.48955835989854,2.69120959093784e-24,1.38879183233728e-23,0,0,0,477.296203306392,439.557294443123,441.303665077158
HOXA3,256.344733028257,12.6648530104516,2.47092586171215,1.58922898551404e-23,8.00976823448599e-23,0,0,0,360.980321828364,404.438026072667,431.178150773285
HOXA10,235.249334236979,12.657367809032,2.52575996127568,2.5570703588028e-21,1.20482443964295e-20,0,0,0,491.33432693305,382.913313200453,329.923007734548
PHOX2B,158.008973659156,12.6306904517447,2.52524217751692,2.86134825243368e-22,1.38980443356182e-21,0,0,0,477.296203306392,266.226711840551,404.176779296288
NR2F1,5235.66795181862,12.606551662641,0.592407590948596,8.61809844368749e-97,1.6354486366677e-95,2.73251978770391,1.02808807525018,0,7056.16256862832,6045.0456782178,7793.27084254805
NSG2,9832.67162890445,12.3572334628017,0.326173539911603,0,0,1.82167985846928,5.82583242641771,3.51703956482971,25063.0642891665,21924.6193797881,21674.5071603001
ARPP21,325.091061495494,12.3218063528881,2.5677239100798,4.4948510707282e-22,2.17075039058919e-21,0,0,0,297.8087655084,278.688387713939,297.858879105615
HOXB7,1270.08836680653,12.3159466984053,0.960895015894066,8.81666638869604e-36,6.00601140017436e-35,0,0.342696025083394,0.586173260804951,2021.48980223884,2209.11526846415,2054.63561082769
GUCY1A1,880.871849236609,12.2978074270209,1.25899023396231,2.31379992013519e-27,1.28890549119186e-26,0,0.342696025083394,0,1364.70616113445,1164.60025434931,1029.42728756048
HOXB-AS3,827.90229744365,12.2966426769467,2.41042024486058,2.97970899703611e-22,1.44586906358719e-21,0,0,0,280.762472533172,431.627137069149,273.388886204587
HOXD4,340.852965550874,12.2905030567479,2.43620614348836,2.97990380806322e-22,1.44586906358719e-21,0,0,0,300.81693485697,309.276137584981,345.111279190359
LBX1,641.563959969205,12.1570401409131,0.970058651491655,2.23197753325977e-34,1.47362319396318e-33,0,0.685392050166789,0,1940.26922982745,1805.81012201634,1821.74878183859
NYAP2,217.104633054371,12.1456207221428,2.50428637340947,2.2888830695101e-21,1.08018193669575e-20,0,0,0,364.991214293123,235.638961969509,220.229936109251
PRDM8,607.850001995458,12.0440636714873,1.26723107771499,3.89980204575411e-26,2.10462684282443e-25,0.910839929234638,0,0,1200.25957007931,915.366736881556,885.982501588941
HOXC-AS1,124.469661324731,12.0349169929332,2.48615735271599,4.96035265977333e-21,2.31762529120963e-20,0,0,0,280.762472533172,219.778647221562,273.388886204587
OPRM1,696.57185374237,12.0094904767694,1.28501420355169,1.49259083181242e-25,7.91935074590572e-25,0,0.342696025083394,0,787.137646209071,1041.11637524028,1031.1148732778
HOXA2,217.589389482927,11.8954784942951,2.43413824967241,4.28160221629606e-21,2.00429116406834e-20,0,0,0,211.574577516069,266.226711840551,249.762686162216
NR2F2-AS1,141.810412524438,11.7636600375854,2.44676331645636,2.00318976137261e-20,9.19397596807455e-20,0,0,0,221.601808677968,224.310165720975,216.01097181597
DIRAS2,2499.46653078362,11.7325758129863,0.588671773010505,1.16825733788353e-85,1.89906007369693e-84,0,0.685392050166789,2.3446930432198,4145.25736232904,3457.54861505261,3684.84341375134
MSTN,526.299913733003,11.6459382664779,2.49724185713057,3.42361975430919e-16,1.37376631535654e-15,0,0,0,491.33432693305,125.749638358729,69.191014409803
UNCX,745.80845142439,11.5635609400391,0.717517605341264,3.53983698448053e-55,3.56817980190311e-54,0,1.37078410033358,0,2216.01808677968,2188.72343521679,2421.6855043431
MKRN3,61.1402629532482,11.5395007136077,2.52983079058619,2.34410363475778e-19,1.04286174487682e-18,0,0,0,169.460206636093,184.659378851106,178.8840860351
