"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day60-1,NCRM_day60-2,NCRM_day60-3
CARTPT,1716.18827343387,17.6161693298545,2.95399792126332,2.88198376157134e-39,1.96884638599691e-38,0,0,0,5627.0002714072,9257.31046176465,10716.9668509537
HOXB9,18134.1474708913,16.9030214318952,1.26083767219359,1.07220623614666e-49,8.95821977765868e-49,0,0,0.586173260804951,24772.3647703397,35700.0770938514,25217.769567998
GRIA2,1574.34953547641,16.4597131926148,2.5903543835282,7.42430385416474e-39,5.0328380498078e-38,0,0,0,5289.79469772729,4590.59544720018,4769.5058806998
TRIM67,1288.67408803659,15.7761593137198,2.62237322563649,1.70106335013258e-35,1.07662237350163e-34,0,0,0,2948.19398217351,3093.57728903584,2897.65247721393
HOXC8,1650.93498880897,15.6389208810472,2.50979740293478,1.98194897024206e-35,1.25248464016168e-34,0,0,0,2432.02455654058,3772.79804397872,2693.66309335929
HOXC6,2389.87389702379,15.3802015873736,2.46696246509846,1.31283273232256e-34,8.14377523793673e-34,0,0,0,2228.5709143203,3019.40950545012,2451.21669451565
ADCYAP1,799.63297361836,15.3721920164737,2.57976054569262,5.83419169332636e-34,3.58077373770295e-33,0,0,0,1902.66832076373,2609.5349119501,2481.31348885486
HOXB4,807.31057428408,14.9566729026625,2.51329901398346,1.57269971852084e-32,9.36707575212656e-32,0,0,0,1735.00744893406,1902.98918410722,1893.58997717529
HOXB5,951.672331718406,14.8077710533528,2.52639909103638,1.07072735233492e-31,6.27421564310215e-31,0,0,0,1441.12996572699,2000.57837303579,1524.06822445499
HOXB8,3632.02092426454,14.7356006923081,1.26785312324242,4.57153029804407e-38,3.05330213365449e-37,0,0,0.586173260804951,5312.40065797399,8484.40408545033,5295.36375957099
ARPP21,325.091061495494,14.6998077799427,2.71361088362866,1.20634821561983e-30,6.90021661794383e-30,0,0,0,1169.85844276661,1461.88605015006,1341.81541428978
HOXC9,1028.06898483614,14.6924387859981,2.49219610367679,1.37737504501906e-31,8.0450908973923e-31,0,0,0,1397.80187525415,1742.94291426435,1555.00104085918
HOXA9,1438.44514066436,14.6288643752946,2.46941297238101,2.17014093871884e-31,1.26297586238905e-30,0,0,0,1386.4988951308,1793.68929250721,1407.02513535806
POU4F2,771.820116221074,14.4554232053114,2.56102872449923,6.03461809140381e-30,3.39615611586863e-29,0,0,0,887.28393968289,1543.86096885006,1365.22403210916
CRH,791.026623404281,14.1447663477364,1.32367164322879,3.47618849572831e-34,2.14169250852179e-33,0,0,0.586173260804951,4766.08995201213,2435.82615565724,4646.61063714802
