"",baseMean,log2FoldChange,lfcSE,pvalue,padj,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,NCRM_day60-1,NCRM_day60-2,NCRM_day60-3
CARTPT,1716.18827343387,17.6161693298545,2.95399792126332,2.88198376157134e-39,1.96884638599691e-38,0,0,0,5627.0002714072,9257.31046176465,10716.9668509537
HOXB9,18134.1474708913,16.9030214318952,1.26083767219359,1.07220623614666e-49,8.95821977765868e-49,0,0,0.586173260804951,24772.3647703397,35700.0770938514,25217.769567998
GRIA2,1574.34953547641,16.4597131926148,2.5903543835282,7.42430385416474e-39,5.0328380498078e-38,0,0,0,5289.79469772729,4590.59544720018,4769.5058806998
TRIM67,1288.67408803659,15.7761593137198,2.62237322563649,1.70106335013258e-35,1.07662237350163e-34,0,0,0,2948.19398217351,3093.57728903584,2897.65247721393
HOXC8,1650.93498880897,15.6389208810472,2.50979740293478,1.98194897024206e-35,1.25248464016168e-34,0,0,0,2432.02455654058,3772.79804397872,2693.66309335929
HOXC6,2389.87389702379,15.3802015873736,2.46696246509846,1.31283273232256e-34,8.14377523793673e-34,0,0,0,2228.5709143203,3019.40950545012,2451.21669451565
ADCYAP1,799.63297361836,15.3721920164737,2.57976054569262,5.83419169332636e-34,3.58077373770295e-33,0,0,0,1902.66832076373,2609.5349119501,2481.31348885486
HOXB4,807.31057428408,14.9566729026625,2.51329901398346,1.57269971852084e-32,9.36707575212656e-32,0,0,0,1735.00744893406,1902.98918410722,1893.58997717529
HOXB5,951.672331718406,14.8077710533528,2.52639909103638,1.07072735233492e-31,6.27421564310215e-31,0,0,0,1441.12996572699,2000.57837303579,1524.06822445499
HOXB8,3632.02092426454,14.7356006923081,1.26785312324242,4.57153029804407e-38,3.05330213365449e-37,0,0,0.586173260804951,5312.40065797399,8484.40408545033,5295.36375957099
ARPP21,325.091061495494,14.6998077799427,2.71361088362866,1.20634821561983e-30,6.90021661794383e-30,0,0,0,1169.85844276661,1461.88605015006,1341.81541428978
HOXC9,1028.06898483614,14.6924387859981,2.49219610367679,1.37737504501906e-31,8.0450908973923e-31,0,0,0,1397.80187525415,1742.94291426435,1555.00104085918
HOXA9,1438.44514066436,14.6288643752946,2.46941297238101,2.17014093871884e-31,1.26297586238905e-30,0,0,0,1386.4988951308,1793.68929250721,1407.02513535806
POU4F2,771.820116221074,14.4554232053114,2.56102872449923,6.03461809140381e-30,3.39615611586863e-29,0,0,0,887.28393968289,1543.86096885006,1365.22403210916
CRH,791.026623404281,14.1447663477364,1.32367164322879,3.47618849572831e-34,2.14169250852179e-33,0,0,0.586173260804951,4766.08995201213,2435.82615565724,4646.61063714802
HOXB6,685.906807181598,14.1369833124151,2.50103279026395,5.53648888370366e-29,3.04318001568245e-28,0,0,0,958.8694804641,1346.73080721434,902.06780811132
BHLHE22,584.884841149103,13.7862635142426,2.5408686059894,3.52891475899577e-27,1.84793297238854e-26,0,0,0,785.55711857275,850.977727457176,813.449469223646
NYAP2,217.104633054371,13.754891048192,2.59654581810099,7.05688487509723e-27,3.67282235064285e-26,0,0,0,666.875827277586,804.13491677146,818.465601613515
RPE65,139.891634607733,13.6936444409323,2.89438768085201,1.8343537525764e-25,9.19714018407948e-25,0,0,0,583.987306373027,591.390484907166,604.443952979133
HOXD3,452.278314590716,13.6830085127221,2.49418585814287,2.07876721344479e-27,1.09448527940993e-26,0,0,0,668.759657298144,858.784862571462,818.465601613515
HOXC10,1218.5328423745,13.630430642402,1.27968165578115,2.48518066355248e-32,1.47382902337468e-31,0,0.342696025083394,0,3243.95529540114,3085.77015392155,2503.05006254429
NEUROD6,459.719025110831,13.5054893194966,2.95320212648539,3.15015578660475e-23,1.49028577180323e-22,0,0,0,435.164734748933,765.09924120003,355.309377615673
OPRM1,696.57185374237,13.4155742060312,1.29563028977313,3.04448143636701e-31,1.76756679989276e-30,0,0.342696025083394,0,1746.31042905741,3444.89836917871,2222.98267077665
PNOC,118.338177279537,13.3699214040473,2.72308404520804,6.10344644236618e-25,3.02460606337354e-24,0,0,0,606.593266619725,409.874593500016,581.871357224725
GUCY1A1,880.871849236609,13.3118395083061,1.26647275016176,1.33897169889559e-31,7.82550972752358e-31,0,0.342696025083394,0,2439.55987662281,2558.78853370724,2085.03903005527
KLHL1,278.981619150533,13.2826176212402,2.58726817743652,4.34744617972696e-25,2.16142532508284e-24,0,0,0,369.230684029398,651.895782042883,647.917100357992
IL13RA2,97.2925536839677,13.2778160396052,2.88968007628852,5.90463734323143e-24,2.86010494327228e-23,0,0,0,401.255794378887,405.971025942873,531.710033326042
SCG2,20919.466872362,13.2298124043973,0.262817037148916,0,0,12.7517590092849,5.48313640133431,14.0681582593188,95723.0548346214,85956.5576082891,104394.07525381
SERPINB7,108.526232647638,13.2099297604168,2.96170327349948,2.48451400594168e-15,9.27176761965111e-15,0,0,0,648.037527072005,197.130161635722,759.108035000073
NR2F2,8498.23600362592,13.1283276019771,0.545684099977294,1.15954901463294e-123,2.71622951731464e-122,0.910839929234638,1.37078410033358,1.1723465216099,9718.67907605951,12434.8144532791,12299.5566199571
